rank_test_score;mean_test_score;std_test_score;param_n_estimators;param_max_depth;param_min_samples_split;param_min_samples_leaf;param_max_features
1;0.8689114991251978;0.0006029204496396906;356;14;4;14;0.3
2;0.8689074564007023;0.0006462479154608232;444;12;13;6;log2
3;0.8688997541375333;0.0006318881691782272;444;14;2;13;0.3
4;0.8688396680525621;0.0006885308826457038;312;12;9;14;sqrt
5;0.8688326564525788;0.0006247287865877168;513;14;13;8;log2
6;0.8687810780912338;0.0006030832957518386;487;14;19;7;sqrt
7;0.8687606404109065;0.0006073700575905931;458;14;15;7;log2
8;0.8687551639385817;0.0005291544829998044;545;12;16;14;0.5
9;0.8686285601806318;0.0006524208386227305;151;14;18;7;0.3
10;0.8685565698199613;0.000595388385051932;127;14;10;7;log2
11;0.8684423770030136;0.0006121119951597421;260;16;22;12;log2
12;0.8683503474614803;0.0006505981794814791;419;10;21;7;0.5
13;0.8682186842696668;0.000635049792685849;519;18;18;14;0.3
14;0.8677756298058773;0.0006056906189563825;576;16;23;4;log2
15;0.8677205642250702;0.0005601889503537044;261;18;13;10;log2
16;0.8676791703134619;0.00072908184249088;187;10;12;11;0.3
17;0.8676557792348855;0.0007551484568769813;479;10;11;10;sqrt
18;0.8676210428084449;0.0005822126254044964;112;18;5;11;sqrt
19;0.8673868579224343;0.00045914364340005884;249;14;4;8;0.5
20;0.8673117890799261;0.000606916566399689;185;;20;11;0.3
21;0.867245000311755;0.0005782416854072573;591;18;2;8;sqrt
22;0.8672314384463246;0.0005729969239152785;517;18;13;8;sqrt
23;0.86656385945215;0.0006953438981217367;140;;14;9;log2
24;0.8663545576542427;0.00048727794767005966;506;14;6;4;0.5
25;0.8662588877125303;0.0006137627557915365;314;;15;8;0.3
26;0.8661396973908291;0.0004560360587186758;206;18;16;13;0.5
27;0.8657076291593518;0.0008301383317837629;489;8;3;4;0.5
28;0.8655890911435918;0.0005958014998087532;326;16;2;3;0.3
29;0.8648726682159585;0.0004674398786724488;180;;20;11;0.5
30;0.8646081248807671;0.000876607972697231;450;8;15;4;log2
31;0.864585201030082;0.0008641638930341803;191;8;21;2;sqrt
32;0.8635985434133356;0.0004030710239884069;363;18;13;7;0.5
33;0.8631082163990579;0.0006553967856146875;221;;8;5;sqrt
34;0.8607420570944635;0.0007253306373768402;459;;13;3;sqrt
35;0.8601567103407378;0.0008822598841176037;161;6;24;7;0.5
36;0.8601142608926672;0.0008774777669947888;364;6;19;14;0.5
37;0.8600043269338181;0.000648050935468366;152;;16;2;sqrt
38;0.8595829515363388;0.0008629074785114207;234;6;20;5;0.3
39;0.8592926469426523;0.0008200712603322077;575;6;11;11;0.3
40;0.8569906141167732;0.0007066522266075524;478;;2;3;0.3
